id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
191,Maxime,Estève,Estève,d,Knock - 75% chance of playing,,3.9,718,214.0,10.9,37,13.0,2.2,170.0,63.0,0,0,0.0,-1,1.0,7607,51297,0.6,10.8,1.7,2.2,2.6,216.0,81.0,75.0,,46.0,22.0,233.0,66.0,233.0,65.0,141.0,50.0,,,,,,,,0.03,0.02,0.05,2.11,0.0,0.13,2.07,1.01,10.12,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13406.0,59488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Axel,Tuanzebe,Tuanzebe,n,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,,3.9,703,204.0,1.2,168,69.0,0.2,367.0,131.0,0,0,0.0,-1,1.0,42,5942,0.1,4.6,0.0,0.0,2.2,255.0,96.0,0.0,0.0,222.0,89.0,387.0,139.0,439.0,169.0,318.0,107.0,,,,,,,,0.0,0.01,0.01,2.42,0.0,0.13,2.17,1.02,9.43,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,8449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Joe,Worrall,Worrall,a,,,3.8,747,232.0,0.2,386,143.0,0.6,320.0,114.0,2,-1,1.0,-2,2.0,568,288,0.2,1.8,0.6,0.6,1.2,389.0,139.0,,,358.0,132.0,421.0,157.0,391.0,143.0,401.0,143.0,,,,,,,,0.0,0.01,0.01,2.31,0.0,0.0,1.75,0.58,13.44,17,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,618.0,385.0,0.0,0.0,0.01,0.01,1.4100000000000001,17.4,0.20000000000000007,0.0,1.7999999999999998,0.0,9.0,2.0,9.0
200,Jaidon,Anthony,Anthony,a,,,5.2,215,133.0,2.3,123,42.0,1.8,215.0,98.0,2,0,0.0,-3,3.0,2589,12861,0.3,11.5,1.8,1.8,3.5,112.0,50.0,100.0,100.0,115.0,40.0,76.0,57.0,48.0,31.0,51.0,36.0,2.0,,,,,,,0.2,0.1,0.3,1.98,0.0,0.24,1.84,1.12,7.86,17,2.0,76.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,3167.0,18630.0,0.0,0.0,0.0,0.0,1.0700000000000003,8.400000000000034,0.6999999999999886,6.0,1.5,2.0,2.0,6.0,10.0
644,Jean-Ricner,Bellegarde,Bellegarde,i,Hamstring injury - Expected back 24 Jan,,5.2,211,131.0,0.0,600,229.0,2.2,177.0,79.0,0,0,0.0,-3,3.0,5,120,0.4,4.8,0.0,0.0,1.8,313.0,141.0,0.0,0.0,253.0,109.0,187.0,126.0,172.0,101.0,244.0,124.0,3.0,4.0,,,,,,0.1,0.08,0.18,1.56,0.0,0.13,2.63,1.18,7.75,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,Fer,López González,Fer López,a,,,5.2,225,139.0,0.0,631,256.0,0.8,312.0,143.0,2,0,0.0,-3,3.0,29,42,0.2,2.1,0.3,0.8,1.4,377.0,174.0,100.0,100.0,386.0,175.0,246.0,150.0,281.0,149.0,343.0,165.0,,,,,,,,0.06,0.24,0.3,1.54,0.0,0.0,3.58,0.8,4.38,17,2.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,41.0,58.0,0.0,0.0,0.0,0.0,0.7999999999999998,0.6000000000000014,4.799999999999997,2.0,0.7000000000000011,0.0,1.0,2.0,3.0
646,João Victor,Gomes da Silva,Gomes,a,,,5.3,198,122.0,0.1,496,171.0,2.2,178.0,80.0,1,0,0.0,-2,2.0,111,304,0.4,7.2,1.7,2.2,2.4,241.0,107.0,100.0,100.0,193.0,78.0,120.0,87.0,221.0,123.0,188.0,96.0,,,,,,,,0.04,0.04,0.08,1.44,0.0,0.07,1.97,0.99,11.68,17,1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,295.0,395.0,0.0,0.0,0.039999999999999925,0.040000000000000036,1.2800000000000011,5.599999999999994,5.200000000000017,0.0,1.1000000000000014,0.0,3.0,6.0,9.0
647,Gonçalo Manuel,Ganchinho Guedes,Guedes,u,Has joined Real Sociedad permanently.,,5.5,139,87.0,0.0,746,328.0,0.0,744.0,328.0,0,0,0.0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,754.0,333.0,0.0,0.0,755.0,333.0,754.0,333.0,752.0,332.0,755.0,333.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,Tom,Edozie,Edozie,a,,,4.3,596,340.0,0.4,279,95.0,0.0,558.0,202.0,0,0,0.0,-2,2.0,1631,1121,0.0,0.0,-0.5,0.0,0.0,607.0,231.0,,,603.0,225.0,594.0,224.0,573.0,219.0,604.0,226.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Manuel,Benson Hedilazio,Benson,u,has joined Swansea City on loan for the rest of the season.,,5.4,159,99.0,0.0,681,287.0,0.0,734.0,321.0,0,0,0.0,-1,1.0,0,8,0.0,0.0,0.0,0.0,0.0,746.0,327.0,0.0,0.0,747.0,327.0,746.0,327.0,742.0,326.0,747.0,327.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,Tijjani,Reijnders,Reijnders,a,,,5.2,212,132.0,11.8,31,12.0,4.4,55.0,26.0,8,0,0.0,-3,3.0,38342,18933,0.8,11.0,4.9,4.9,3.6,105.0,46.0,,,134.0,49.0,67.0,50.0,36.0,21.0,49.0,35.0,3.0,,,,,,,0.24,0.12,0.36,1.12,0.0,0.41,1.07,1.07,5.5,17,8.0,66.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,43694.0,37583.0,0.0,0.27,0.020000000000000018,0.29000000000000004,0.7900000000000009,36.20000000000002,6.0,54.0,9.600000000000001,0.0,0.0,4.0,4.0
428,Sverre,Nypan,Nypan,u,Has joined Middlesbrough on loan for the rest of the season.,,5.0,275,170.0,0.0,695,296.0,0.0,718.0,311.0,0,0,0.0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0,739.0,323.0,0.0,0.0,740.0,323.0,738.0,323.0,731.0,321.0,740.0,323.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,Kalvin,Phillips,Phillips,a,,,4.8,340,212.0,0.1,528,187.0,0.0,674.0,282.0,0,0,0.0,-2,2.0,106,115,0.0,0.0,0.5,0.5,0.0,706.0,300.0,,,707.0,300.0,701.0,299.0,688.0,296.0,707.0,300.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,Erling,Haaland,Haaland,a,,,15.1,1,1.0,74.1,1,1.0,9.4,3.0,1.0,16,1,-1.0,11,-11.0,48127,4735,0.6,10.0,9.9,9.9,8.9,1.0,1.0,100.0,100.0,1.0,1.0,154.0,11.0,1.0,1.0,1.0,1.0,,,1.0,,,,,0.99,0.07,1.06,1.14,0.0,0.55,0.92,1.05,3.51,17,16.0,90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,66.0,64234.0,6024.0,0.0,1.0199999999999996,0.07000000000000006,1.0899999999999999,0.9800000000000004,78.20000000000005,10.799999999999997,68.0,15.700000000000017,0.0,0.0,0.0,0.0
202,Jacob,Bruun Larsen,Bruun Larsen,a,,,5.3,185,113.0,0.0,614,241.0,1.8,217.0,100.0,3,0,0.0,-2,2.0,202,114,0.3,4.9,1.8,1.8,1.7,330.0,150.0,100.0,100.0,278.0,123.0,102.0,74.0,142.0,81.0,197.0,100.0,3.0,1.0,3.0,,,,,0.07,0.13,0.2,2.23,0.0,0.25,2.53,0.89,5.7,17,3.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,280.0,203.0,0.0,0.0,0.0,0.0,0.9699999999999989,2.1999999999999886,0.799999999999983,0.0,0.30000000000000426,0.0,2.0,4.0,6.0
204,Darko,Churlinov,Churlinov,u,has joined Kocaelispor  permanently.,,4.9,312,192.0,0.0,691,293.0,0.0,694.0,294.0,0,0,0.0,-1,1.0,0,8,0.0,0.0,0.0,0.0,0.0,718.0,307.0,0.0,0.0,719.0,307.0,715.0,307.0,708.0,305.0,719.0,307.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
